"Pick","Team","Player","College","Season"
"43","ATL","Mike Scott","University of Virginia",2012
"44","DET","Kim English","University of Missouri",2012
"45","PHI","Justin Hamilton","Louisiana State University",2012
"46","NOH","Darius Miller","University of Kentucky",2012
"47","UTA","Kevin Murphy","Tennessee Technological University",2012
"48","NYK","Kostas Papanikolaou","",2012
"49","ORL","Kyle O'Quinn","Norfolk State University",2012
"50","DEN","Izzet Turkyilmaz","",2012
"51","BOS","Kris Joseph","Syracuse University",2012
"52","GSW","Ognjen Kuzmic","",2012
"53","LAC","Furkan Aldemir","",2012
"54","PHI","Tornike Shengelia","",2012
"55","DAL","Darius Johnson-Odom","Marquette University",2012
"56","TOR","Tomislav Zubcic","",2012
"57","NJN","Ilkan Karaman","",2012
"58","MIN","Robbie Hummel","Purdue University",2012
"59","SAS","Marcus Denmon","University of Missouri",2012
"60","LAL","Robert Sacre","Gonzaga University",2012
"1","CLE","Anthony Bennett","University of Nevada, Las Vegas",2013
"2","ORL","Victor Oladipo","Indiana University",2013
"3","WAS","Otto Porter","Georgetown University",2013
"4","CHA","Cody Zeller","Indiana University",2013
"5","PHO","Alex Len","University of Maryland",2013
"6","NOH","Nerlens Noel","University of Kentucky",2013
"7","SAC","Ben McLemore","University of Kansas",2013
"8","DET","Kentavious Caldwell-Pope","University of Georgia",2013
"9","MIN","Trey Burke","University of Michigan",2013
"10","POR","C.J. McCollum","Lehigh University",2013
"11","PHI","Michael Carter-Williams","Syracuse University",2013
"12","OKC","Steven Adams","University of Pittsburgh",2013
"13","DAL","Kelly Olynyk","Gonzaga University",2013
"14","UTA","Shabazz Muhammad","University of California, Los Angeles",2013
"15","MIL","Giannis Antetokounmpo","",2013
"16","BOS","Lucas Nogueira","",2013
"17","ATL","Dennis Schroder","",2013
"18","ATL","Shane Larkin","University of Miami",2013
"19","CLE","Sergey Karasev","",2013
"20","CHI","Tony Snell","University of New Mexico",2013
"21","UTA","Gorgui Dieng","University of Louisville",2013
"22","BRK","Mason Plumlee","Duke University",2013
"23","IND","Solomon Hill","University of Arizona",2013
"24","NYK","Tim Hardaway","University of Michigan",2013
"25","LAC","Reggie Bullock","University of North Carolina",2013
"26","MIN","Andre Roberson","University of Colorado",2013
"27","DEN","Rudy Gobert","",2013
"28","SAS","Livio Jean-Charles","",2013
"29","OKC","Archie Goodwin","University of Kentucky",2013
"30","PHO","Nemanja Nedovic","",2013
"31","CLE","Allen Crabbe","University of California",2013
"32","OKC","Alex Abrines","",2013
"33","CLE","Carrick Felix","Arizona State University",2013
"34","HOU","Isaiah Canaan","Murray State University",2013
"35","PHI","Glen Rice","Georgia Institute of Technology",2013
"36","SAC","Ray McCallum","University of Detroit Mercy",2013
"37","DET","Tony Mitchell","University of North Texas",2013
"38","WAS","Nate Wolters","South Dakota State University",2013
"39","POR","Jeff Withey","University of Kansas",2013
"40","POR","Grant Jerrett","University of Arizona",2013
"41","MEM","Jamaal Franklin","San Diego State University",2013
"42","PHI","Pierre Jackson","Baylor University",2013
"43","MIL","Ricky Ledo","Providence College",2013
"44","DAL","Mike Muscala","Bucknell University",2013
"45","POR","Marko Todorovic","",2013
"46","UTA","Erick Green","Virginia Polytechnic Institute and State University",2013
"47","ATL","Raul Neto","",2013
"48","LAL","Ryan Kelly","Duke University",2013
"49","CHI","Erik Murphy","University of Florida",2013
"50","ATL","James Ennis","California State University, Long Beach",2013
"51","ORL","Romero Osby","University of Oklahoma",2013
"52","MIN","Lorenzo Brown","North Carolina State University",2013
"53","IND","Colton Iverson","Colorado State University",2013
"54","WAS","Arsalan Kazemi","University of Oregon",2013
"55","MEM","Joffrey Lauvergne","",2013
"56","DET","Peyton Siva","University of Louisville",2013
"57","PHO","Alex Oriakhi","University of Missouri",2013
"58","SAS","Deshaun Thomas","Ohio State University",2013
"59","MIN","Bojan Dubljevic","",2013
"60","MEM","Janis Timma","",2013
"1","CLE","Andrew Wiggins","University of Kansas",2014
"2","MIL","Jabari Parker","Duke University",2014
"3","PHI","Joel Embiid","University of Kansas",2014
"4","ORL","Aaron Gordon","University of Arizona",2014
"5","UTA","Dante Exum","",2014
"6","BOS","Marcus Smart","Oklahoma State University",2014
"7","LAL","Julius Randle","University of Kentucky",2014
"8","SAC","Nik Stauskas","University of Michigan",2014
"9","CHH","Noah Vonleh","Indiana University",2014
"10","PHI","Elfrid Payton","University of Louisiana at Lafayette",2014
"11","DEN","Doug McDermott","Creighton University",2014
"12","ORL","Dario Saric","",2014
"13","MIN","Zach LaVine","University of California, Los Angeles",2014
"14","PHO","T.J. Warren","North Carolina State University",2014
"15","ATL","Adreian Payne","Michigan State University",2014
"16","CHI","Jusuf Nurkic","",2014
"17","BOS","James Young","University of Kentucky",2014
"18","PHO","Tyler Ennis","Syracuse University",2014
"19","CHI","Gary Harris","Michigan State University",2014
"20","TOR","Bruno Caboclo","",2014
"21","OKC","Mitch McGary","University of Michigan",2014
"22","MEM","Jordan Adams","University of California, Los Angeles",2014
"23","UTA","Rodney Hood","Duke University",2014
"24","CHH","Shabazz Napier","University of Connecticut",2014
"25","HOU","Clint Capela","",2014
"26","MIA","P.J. Hairston","University of North Carolina",2014
"27","PHO","Bogdan Bogdanovic","",2014
"28","LAC","C.J. Wilcox","University of Washington",2014
"29","OKC","Josh Huestis","Stanford University",2014
"30","SAS","Kyle Anderson","University of California, Los Angeles",2014
"31","MIL","Damien Inglis","",2014
"32","PHI","K.J. McDaniels","Clemson University",2014
"33","CLE","Joe Harris","University of Virginia",2014
"34","NYK","Cleanthony Early","Wichita State University",2014
"35","UTA","Jarnell Stokes","University of Tennessee",2014
"36","MIL","Johnny O'Bryant III","Louisiana State University",2014
"37","TOR","DeAndre Daniels","University of Connecticut",2014
"38","DET","Spencer Dinwiddie","University of Colorado",2014
"39","PHI","Jerami Grant","Syracuse University",2014
"40","MIN","Glenn Robinson III","University of Michigan",2014
"41","DEN","Nikola Jokic","",2014
"42","HOU","Nick Johnson","University of Arizona",2014
"43","ATL","Walter Tavares","",2014
"44","MIN","Markel Brown","Oklahoma State University",2014
"45","CHH","Dwight Powell","Stanford University",2014
"46","WAS","Jordan Clarkson","University of Missouri",2014
"47","PHI","Russ Smith","University of Louisville",2014
"48","MIL","Lamar Patterson","University of Pittsburgh",2014
"49","CHI","Cameron Bairstow","University of New Mexico",2014
"50","PHO","Alec Brown","University of Wisconsin-Green Bay",2014
"51","NYK","Thanasis Antetokounmpo","",2014
"52","PHI","Vasilije Micic","",2014
"53","MIN","Alessandro Gentile","",2014
"54","PHI","Nemanja Dangubic","",2014
"55","MIA","Semaj Christon","Xavier University",2014
"56","DEN","Roy Devyn Marble","University of Iowa",2014
"57","IND","Louis Labeyrie","",2014
"58","SAS","Jordan McRae","University of Tennessee",2014
"59","TOR","Xavier Thames","San Diego State University",2014
"60","SAS","Cory Jefferson","Baylor University",2014
"1","MIN","Karl-Anthony Towns","University of Kentucky",2015
"2","LAL","D'Angelo Russell","Ohio State University",2015
"3","PHI","Jahlil Okafor","Duke University",2015
"4","NYK","Kristaps Porzingis","",2015
"5","ORL","Mario Hezonja","",2015
"6","SAC","Willie Cauley-Stein","University of Kentucky",2015
"7","DEN","Emmanuel Mudiay","",2015
"8","DET","Stanley Johnson","University of Arizona",2015
"9","CHO","Frank Kaminsky","University of Wisconsin",2015
"10","MIA","Justise Winslow","Duke University",2015
"11","IND","Myles Turner","University of Texas at Austin",2015
"12","UTA","Trey Lyles","University of Kentucky",2015
"13","PHO","Devin Booker","University of Kentucky",2015
"14","OKC","Cameron Payne","Murray State University",2015
"15","ATL","Kelly Oubre","University of Kansas",2015
"16","BOS","Terry Rozier","University of Louisville",2015
"17","MIL","Rashad Vaughn","University of Nevada, Las Vegas",2015
"18","HOU","Sam Dekker","University of Wisconsin",2015
"19","WAS","Jerian Grant","University of Notre Dame",2015
"20","TOR","Delon Wright","University of Utah",2015
"21","DAL","Justin Anderson","University of Virginia",2015
"22","CHI","Bobby Portis","University of Arkansas",2015
"23","POR","Rondae Hollis-Jefferson","University of Arizona",2015
"24","CLE","Tyus Jones","Duke University",2015
"25","MEM","Jarell Martin","Louisiana State University",2015
"26","SAS","Nikola Milutinov","",2015
"27","LAL","Larry Nance Jr.","University of Wyoming",2015
"28","BOS","R.J. Hunter","Georgia State University",2015
"29","BRK","Chris McCullough","Syracuse University",2015
"30","GSW","Kevon Looney","University of California, Los Angeles",2015
"31","MIN","Cedi Osman","",2015
"32","HOU","Montrezl Harrell","University of Louisville",2015
"33","BOS","Jordan Mickey","Louisiana State University",2015
"34","LAL","Anthony Brown","Stanford University",2015
"35","PHI","Willy Hernangomez","",2015
"36","MIN","Rakeem Christmas","Syracuse University",2015
"37","PHI","Richaun Holmes","Bowling Green State University",2015
"38","DET","Darrun Hilliard","Villanova University",2015
"39","CHO","Juan Pablo Vaulet","",2015
"40","MIA","Josh Richardson","University of Tennessee",2015
"41","BRK","Pat Connaughton","University of Notre Dame",2015
"42","UTA","Olivier Hanlan","Boston College",2015
"43","IND","Joseph Young","University of Oregon",2015
"44","PHO","Andrew Harrison","University of Kentucky",2015
"45","BOS","Marcus Thornton","College of William & Mary",2015
"46","MIL","Norman Powell","University of California, Los Angeles",2015
"47","PHI","Arturas Gudaitis","",2015
"48","OKC","Dakari Johnson","University of Kentucky",2015
"49","WAS","Aaron White","University of Iowa",2015
"50","ATL","Marcus Eriksson","",2015
"51","ORL","Tyler Harvey","Eastern Washington University",2015
"52","DAL","Satnam Singh","",2015
"53","CLE","Sir'Dominic Pointer","St. John's University",2015
"54","UTA","Dani Diez","",2015
"55","SAS","Cady Lalanne","University of Massachusetts Amherst",2015
"56","NOP","Branden Dawson","Michigan State University",2015
"57","DEN","Nikola Radicevic","",2015
"58","PHI","J.P. Tokoto","University of North Carolina",2015
"59","ATL","Dimitrios Agravanis","",2015
"60","PHI","Luka Mitrovic","",2015
"1","PHI","Ben Simmons","Louisiana State University",2016
"2","LAL","Brandon Ingram","Duke University",2016
"3","BOS","Jaylen Brown","University of California",2016
"4","PHO","Dragan Bender","",2016
"5","MIN","Kris Dunn","Providence College",2016
"6","NOP","Buddy Hield","University of Oklahoma",2016
"7","DEN","Jamal Murray","University of Kentucky",2016
"8","SAC","Marquese Chriss","University of Washington",2016
"9","TOR","Jakob Poeltl","University of Utah",2016
"10","MIL","Thon Maker","",2016
"11","ORL","Domantas Sabonis","Gonzaga University",2016
"12","UTA","Taurean Prince","Baylor University",2016
"13","PHO","Georgios Papagiannis","",2016
"14","CHI","Denzel Valentine","Michigan State University",2016
"15","DEN","Juan Hernangomez","",2016
"16","BOS","Guerschon Yabusele","",2016
"17","MEM","Wade Baldwin","Vanderbilt University",2016
"18","DET","Henry Ellenson","Marquette University",2016
"19","DEN","Malik Beasley","Florida State University",2016
"20","IND","Caris LeVert","University of Michigan",2016
"21","ATL","DeAndre Bembry","Saint Joseph's University",2016
"22","CHO","Malachi Richardson","Syracuse University",2016
"23","BOS","Ante Zizic","",2016
"24","PHI","Timothe Luwawu","",2016
"25","LAC","Brice Johnson","University of North Carolina",2016
"26","PHI","Furkan Korkmaz","",2016
"27","TOR","Pascal Siakam","New Mexico State University",2016
"28","PHO","Skal Labissiere","University of Kentucky",2016
"29","SAS","Dejounte Murray","University of Washington",2016
"30","GSW","Damian Jones","Vanderbilt University",2016
"31","BOS","Deyonta Davis","Michigan State University",2016
"32","LAL","Ivica Zubac","",2016
"33","LAC","Cheick Diallo","University of Kansas",2016
"34","PHO","Tyler Ulis","University of Kentucky",2016
"35","BOS","Rade Zagorac","",2016
"36","MIL","Malcolm Brogdon","University of Virginia",2016
"37","HOU","Chinanu Onuaku","University of Louisville",2016
"38","MIL","Patrick McCaw","University of Nevada, Las Vegas",2016
"39","NOP","David Michineau","",2016
"40","NOP","Diamond Stone","University of Maryland",2016
"41","ORL","Stephen Zimmerman","University of Nevada, Las Vegas",2016
"42","UTA","Isaiah Whitehead","Seton Hall University",2016
"43","HOU","Zhou Qi","",2016
"44","ATL","Isaia Cordinier","",2016
"45","BOS","Demetrius Jackson","University of Notre Dame",2016
"46","DAL","A.J. Hammons","Purdue University",2016
"47","ORL","Jake Layman","University of Maryland",2016
"48","CHI","Paul Zipser","",2016
"49","DET","Michael Gbinije","Syracuse University",2016
"50","IND","Georges Niang","Iowa State University",2016
"51","BOS","Ben Bentil","Providence College",2016
"52","UTA","Joel Bolomboy","Weber State University",2016
"53","DEN","Petr Cornelie","",2016
"54","ATL","Kay Felder","Oakland University",2016
"55","BRK","Marcus Paige","University of North Carolina",2016
"56","DEN","Daniel Hamilton","University of Connecticut",2016
"57","MEM","Wang Zhelin","",2016
"58","BOS","Abdel Nader","Iowa State University",2016
"59","SAC","Isaiah Cousins","University of Oklahoma",2016
"60","UTA","Tyrone Wallace","University of California",2016
"1","PHI","Markelle Fultz","University of Washington",2017
"2","LAL","Lonzo Ball","University of California, Los Angeles",2017
"3","BOS","Jayson Tatum","Duke University",2017
"4","PHO","Josh Jackson","University of Kansas",2017
"5","SAC","De'Aaron Fox","University of Kentucky",2017
"6","ORL","Jonathan Isaac","Florida State University",2017
"7","MIN","Lauri Markkanen","University of Arizona",2017
"8","NYK","Frank Ntilikina","",2017
"9","DAL","Dennis Smith","North Carolina State University",2017
"10","SAC","Zach Collins","Gonzaga University",2017
"11","CHO","Malik Monk","University of Kentucky",2017
"12","DET","Luke Kennard","Duke University",2017
"13","DEN","Donovan Mitchell","University of Louisville",2017
"14","MIA","Bam Adebayo","University of Kentucky",2017
"15","POR","Justin Jackson","University of North Carolina",2017
"16","CHI","Justin Patton","Creighton University",2017
"17","MIL","D.J. Wilson","University of Michigan",2017
"18","IND","T.J. Leaf","University of California, Los Angeles",2017
"19","ATL","John Collins","Wake Forest University",2017
"20","POR","Harry Giles","Duke University",2017
"21","OKC","Terrance Ferguson","",2017
"22","BRK","Jarrett Allen","University of Texas at Austin",2017
"23","TOR","OG Anunoby","Indiana University",2017
"24","UTA","Tyler Lydon","Syracuse University",2017
"25","ORL","Andzejs Pasecniks","",2017
"26","POR","Caleb Swanigan","Purdue University",2017
"27","BRK","Kyle Kuzma","University of Utah",2017
